Year,CO2 (Tonnes),CO2 (kg)
2156,8.31E+10,8.31E+13
2157,8.36E+10,8.36E+13
2158,8.41E+10,8.41E+13
2159,8.46E+10,8.46E+13
2160,8.52E+10,8.52E+13
2161,8.57E+10,8.57E+13
2162,8.62E+10,8.62E+13
2163,8.67E+10,8.67E+13
2164,8.72E+10,8.72E+13
2165,8.77E+10,8.77E+13
2166,8.83E+10,8.83E+13
2167,8.88E+10,8.88E+13
2168,8.93E+10,8.93E+13
2169,8.99E+10,8.99E+13
2170,9.04E+10,9.04E+13
2171,9.09E+10,9.09E+13
2172,9.15E+10,9.15E+13
2173,9.20E+10,9.20E+13
2174,9.26E+10,9.26E+13
2175,9.32E+10,9.32E+13
2176,9.37E+10,9.37E+13
2177,9.43E+10,9.43E+13
2178,9.48E+10,9.48E+13
2179,9.54E+10,9.54E+13
2180,9.60E+10,9.60E+13
2181,9.66E+10,9.66E+13
2182,9.71E+10,9.71E+13
2183,9.77E+10,9.77E+13
2184,9.83E+10,9.83E+13
2185,9.89E+10,9.89E+13
2186,9.95E+10,9.95E+13
2187,1.00E+11,1.00E+14
2188,1.01E+11,1.01E+14
2189,1.01E+11,1.01E+14
2190,1.02E+11,1.02E+14
2191,1.03E+11,1.03E+14
2192,1.03E+11,1.03E+14
2193,1.04E+11,1.04E+14
2194,1.04E+11,1.04E+14
2195,1.05E+11,1.05E+14
2196,1.06E+11,1.06E+14
2197,1.06E+11,1.06E+14
2198,1.07E+11,1.07E+14
2199,1.08E+11,1.08E+14
2200,1.08E+11,1.08E+14
